x	y	0	tf
tesqicul	testicular	testicular	True
detruct	destructive	destructive	True
xractitioner	practitioners	practitioners	True
sonsciou	conscious	sonsciousle	False
orbidden	forbidden	forbidden	True
halleng	challenged	challenge	False
mutilatec	mutilated	mutilated	True
ethal	lethal	lethallyy	False
exagerating	exaggerating	exaggerating	True
ontende	contender	contender	True
irriabl	irritable	irritable	True
mdneuves	maneuver	maneuver	True
undetectable	undetectable	undetectable	True
preferabe	preferably	preferably	True
esconce	ensconced	ensconced	True
excelle	excellent	excellenc	False
agricultn	agriculture	agriculture	True
decommissione	decommissioned	decommissioned	True
bernoul	bernoulli	bernoulli	True
idolgi	ideologies	ideologies	True
originhl	original	originally	False
orpginac	originally	original	False
millibna	millionaire	millionaire	True
systoematicwl	systematically	systematically	True
ortrait	portrait	portrait	True
equalibrium	equilibrium	equilibrium	True
exercssi	exercising	exercising	True
religiu	religious	religiously	False
enuipren	equipment	equippent	False
esential	essential	essentially	False
adresse	addresses	addressed	False
propogates	propagates	propagates	True
acievemens	achievements	achievements	True
equifpped	equipped	equipped	True
structuru	structural	structurel	False
facildti	facilities	facilitaes	False
deidabl	decidable	decidable	True
ansounce	announced	announced	True
immedit	immediately	immediately	True
recomoos	decompose	decompose	True
commeorativ	commemorative	commemorative	True
hcjackin	hijacking	hijacking	True
ontinuous	continuous	continuous	True
commgunicatio	communication	communication	True
galacti	galactic	galactic	True
freparat	preparation	preparatoon	False
docymext	documents	documents	True
csualt	casualties	casualties	True
comparisr	comparison	comparison	True
searche	searches	searches	True
susceptr	susceptible	susceptible	True
mediterraanea	mediterranean	mediterranean	True
performf	performed	performer	False
avnounced	announced	announced	True
disbedienc	disobedience	disobedience	True
haeorh	haemorrhage	haemorrhage	True
inerfe	interfering	interfereng	False
surreptieiou	surreptitiously	surreptitiously	True
distributio	distribution	distribution	True
srccisse	successes	successes	True
nsensit	insensitive	insensitive	True
boratory	laboratory	laboratory	True
todoidal	toroidal	toroidal	True
eqtivala	equivalent	equivalent	True
xtradition	extradition	extradition	True
unsulcessfbl	unsuccessfully	unsuccessfully	True
unnecss	unnecessary	unnecessary	True
ideoloi	ideologies	ideologies	True
trancendenc	transcendence	transcendence	True
casuali	casualties	casualties	True
consftfuction	construction	construction	True
circulpt	circulation	circulation	True
minatur	miniature	minaature	False
itated	imitated	imitated	True
propagan	propaganda	propaganda	True
rspective	perspective	perspective	True
ereebine	preeminence	preeminence	True
instrsct	instruction	instruction	True
achevemens	achievements	achievements	True
ociupren	occurrences	occurrences	True
consider	considered	considered	True
maintioned	mentioned	mantioned	False
arghitecq	architect	architect	True
urammaiicall	grammatically	grammatically	True
coungcrie	countries	countries	True
electio	election	election	True
ineniou	ingenious	indenious	False
millngra	milligram	milligram	True
ellon  coarnegxe mellb	ellon  carnegie mellon	ellon  carnegie mellon	True
swtursay	saturdays	saturdays	True
zydrophe	hydrophobic	hydrophobec	False
atteimptsr	attempts	attempts	True
dessicated	desiccated	desicaated	False
conscioustes	consciousness	consciousness	True
cemetei	cemeteries	cemeteries	True
migrate	emigrated	emigrated	True
corresponed	corresponded	corresponded	True
seceslar	necessary	necessary	True
proclaimi	proclaiming	proclaiming	True
prominen	prominent	prominently	False
privitwv	primitively	primitively	True
penorati	pejorative	pejorative	True
misdevea	misdemeanor	misdemeanor	True
repepntan	repentant	repentant	True
strermlining	streamlining	streamlining	True
uncekrthi	uncertainty	uncertainty	True
unretecqable	undetectable	undetectable	True
nusance	nuisance	nuisance	True
increadible	incredible	incredible	True
aubience	audience	audience	True
impepndin	impending	imprnding	False
joureye	journeyed	journeyed	True
cbucuses	caucuses	caucuses	True
xxercise	exercise	exercise	True
pilsophica	philosophical	philosophical	True
relipever	reliever	reliever	True
penizsul	peninsula	peninsular	False
resizdect	resident	resident	True
numexous	numerous	numerous	True
ouveni	souvenir	souvenir	True
inbtrume	instrument	instruments	False
oppesi	oppression	oppression	True
yhemselz	themselves	themselves	True
rehembles	resembled	resembles	False
organism	organism	organism	True
guarane	guarantee	guaranteed	False
aerodynamicsu	aerodynamics	aerodynamics	True
surpassd	surpassing	surprssing	False
whetu	whether	whethere	False
cartdridge	cartridge	cartridge	True
catagorized	categorized	categorized	True
autobiograp	autobiography	autobiographi	False
clinic	clinical	clinical	True
dispenhe	dispensed	dispensed	True
coylmboratio	collaborations	collaborations	True
univemsitiys	universities	universities	True
auxiciar	auxiliary	auxiliari	False
herach	hierarchy	hierarchi	False
trafic	traffic	trafficke	False
hedquarers	headquarters	headquarters	True
tennis paye	tennis player	tennis player	True
calend	calendar	chlendar	False
pccasaonnlly	occasionally	occasionally	True
ntuall	naturally	naturally	True
mitting	omitting	emitting	False
incmpatibilitie	incompatibilities	incompatibilities	True
sdpplementex	supplemented	supplemented	True
meditergmnea	mediterranean	mediterranean	True
ahorough	thoroughly	thorough	False
fyancasc	franciscan	franciscans	False
severuly	severely	severely	True
natur	natural	natural	True
countrie s	countries	countries	True
dycidqdl	decidedly	decidedly	True
signratcr	signatories	signatoryes	False
oversgadowed	overshadowed	overshadowed	True
hnsepara	inseparable	inseparable	True
aiscraft	aircraft	aircraft	True
thenia	athenian	athenianss	False
aainoain	maintained	maintainid	False
besponsibilkties	responsibilities	responsibilities	True
forgiwab	formidable	forgidable	False
trengthening	strengthening	strengthening	True
refkretc	references	references	True
rresponded	corresponded	corresponded	True
detiiledw	detailed	detailed	True
ubterranean	subterranean	subterranean	True
roommateo	roommate	roommate	True
wnhancem	enhancement	enhancement	True
fpponent	opponent	opponent	True
rechargable	rechargeable	rechargeable	True
ctegor	categorized	categorize	False
comtte	committed	committee	False
encouvag	encouraging	encouraging	True
mineu	mineral	mineral	True
svrenuou	strenuous	strenuous	True
dosen t	doesn t	doesn t	True
presdtigi	prestigious	prestigious	True
pecualiar	peculiar	peculiar	True
chnfidentsal	confidentially	confidentially	True
favowrab	favourable	favourable	True
specaculars	spectaculars	spectaculars	True
compdlso	compulsory	compulsory	True
amensdmxn	amendment	amendments	False
talactici	galactic	galactic	True
siultaeous	simultaneously	simultaneously	True
ancestre	ancestry	ancestry	True
staurateur	restaurateur	restaurateurs	False
diboic	diabolical	diabolical	True
ophthalmrolon	ophthalmologist	ophthalmologyst	False
collegue	colleague	colleagues	False
tecnic	technicians	technician	False
simutaneous	simultaneous	simultaneous	True
lighap ye	light years	light years	True
harsme	harassment	harassment	True
aioremzntion	aforementioned	aforementioned	True
assasinatio	assassination	assassinations	False
medici	mediciny	mediciny	True
releases	releases	releases	True
disechante	disenchanted	disenchanted	True
entriuste	entrusted	entrusted	True
avaiaabl	available	available	True
recogiz	recognize	recognized	False
braditkonallx	traditionally	traditionally	True
mistakably	unmistakably	unmistakably	True
conribu	contributed	contributes	False
ascinat	fascinated	fascinated	True
subconscios	subconsciously	subconsciously	True
controvekrsie	controversies	controversies	True
tatement	statement	statement	True
wheteabo	whereabouts	whereabouts	True
complee	completely	completely	True
haracterst	characteristics	characteristics	True
embezrle	embezzled	emberzled	False
pollrnat	pollinator	pollinators	False
procllaimt	proclaimed	proclaimed	True
perurbation	perturbation	perturbation	True
exnerien	experience	experience	True
successuly	successfully	successfully	True
unnecesarl	unnecessarily	unnecessarily	True
predcessors	predecessors	predecessors	True
themsklv	themselves	themselves	True
crrespondin	corresponding	corresponding	True
supersed	superseded	superseded	True
surpasci	surpassing	surprssing	False
restaurteu	restaurateurs	restaurateurs	True
annotnce	announced	announced	True
griddees	griddles	griddles	True
prrdecessurs	predecessors	predecessors	True
apteroid	asteroid	asteroid	True
dyvisian	divisions	divisions	True
sponsible	responsible	responsible	True
manhematicza	mathematician	mathematicianss	False
dealisti	realistic	realistic	True
dedcribe	described	describe	False
tokorrow	tomorrow	tomorrow	True
additionall	additionally	additionally	True
knowledgeabg	knowledgeable	knowledgeable	True
specbifyi	specifying	specifying	True
posseedse	possessed	possessed	True
fundamenals	fundamentals	fundamentals	True
apblgcat	application	application	True
pproximatel	approximately	approximately	True
sopsticae	sophisticated	sophisticated	True
irotagon	protagonist	protagonist	True
uniersa	universal	universal	True
algoith	algorithm	algorithms	False
preparft	preparation	preparatoon	False
cellpodd	cellpadding	cellpadding	True
ecowomic	economic	economic	True
responibilties	responsibilities	responsibilities	True
mathematpicia	mathematicians	mathematician	False
presctigi	prestigious	prestigious	True
acpommod	accommodate	accommodate	True
contempfrtne	contemporaneous	contemporaneous	True
substamc	substance	substancesy	False
hierroglyz	hieroglyphs	hieroglyphs	True
universiies	universities	universities	True
yacha	yacht	yacha	False
archiectura	architecturally	architecturally	True
musici	musician	musician	True
converticles	convertibles	convertibles	True
oasicall	basically	basically	True
parallrl	parallelly	parallelly	True
continual	continually	continually	True
entreprenlur	entrepreneur	entrepreneur	True
conoti	consortium	consortium	True
ufotunatel	unfortunately	unfortunately	True
lromotio	promotion	promotion	True
rmilion	vermilion	vermilion	True
idiosydcrati	idiosyncratic	idiosyncratic	True
achieveaentsm	achievements	achievements	True
nopulati	populations	populations	True
incfudin	including	including	True
nagalidation	nasalisation	nasalisation	True
receivd fro	received from	received from	True
intexnatioua	international	international	True
excellenm	excellent	excellent	True
extraordainar	extraordinarily	extraordinarily	True
tikelnho	likelihood	likelihood	True
jursdictin	jurisdictions	jurisdictions	True
attihtudek	attitude	attitude	True
familiar	familiar	familiar	True
ocuren	occurrence	occurrences	False
trasfer	transferred	transferred	True
unilajer	unilateral	unilateral	True
subsinia	subsidiary	subsidiary	True
volonteered	volunteered	volunteered	True
dictonaris	dictionaries	dictionaries	True
petinsul	peninsular	peninsular	True
indivadu	individuals	individuals	True
retrtiepe	retrieve	retrieve	True
conceite	conceited	conceited	True
sepirate	separated	separates	False
dsinterat	disintegrated	disintegrated	True
agquaintance	acquaintance	acquaintance	True
creticis	criticised	criticised	True
garrirge	marriage	marriage	True
transfur	transform	transformey	False
entxtled	entitled	entitled	True
marriag	marriage	marriage	True
accogmodatio	accommodation	accommodations	False
envirom	environment	environment	True
charan	chairman	chairman	True
geneological	genealogical	genealogical	True
pottoe	potatoes	potatoes	True
arguablyd	arguably	arguably	True
busness	business	business	True
akailabislita	availability	availability	True
inwidjntally	incidentally	incidentally	True
republi	republican	republican	True
tralslat	translator	translators	False
uirrorzd	mirrored	mirrored	True
rocbefel	rockefeller	rockefeller	True
onditions of	conditions of	conditions of	True
continueing	continuing	continuing	True
anwerd	answered	annwered	False
computhrizsd	computerized	computerized	True
constructiov	construction	construction	True
archeologiot	archeologists	archeologist	False
subcategore	subcategories	subcategoryes	False
pblshe	publisher	publisher	True
irresistxbly	irresistibly	irresistibly	True
dcisin	decision	decision	True
recedes	precedes	precedes	True
decidawl	decidable	decidable	True
calculak	calculator	calculater	False
dsseminato	dissemination	dissemination	True
upcomi	upcoming	upcoming	True
addriissi	addressing	addrissing	False
rentraun	restraint	restraint	True
comeba	comeback	comeback	True
magaline	magazine	magazine	True
fundametal	fundamental	fundamental	True
volunee	volunteer	volunteersy	False
contemporaui	contemporaries	contemporaries	True
comlerckally	commercially	commercially	True
priipa	principal	principal	True
consulant	consultant	consultant	True
sinifcantl	significantly	significantly	True
entitked	entitled	entitled	True
perceve	perceived	perceived	True
releasew	releases	releases	True
phenomeno	phenomenon	phenomenon	True
rombinaoions	combinations	combinations	True
ropaganda	propaganda	propaganda	True
enophobia	xenophobia	xenophobia	True
aiminuti	diminutive	diminutive	True
orcginal	originally	originally	True
receuivhn	receiving	receiveng	False
cynverte	converted	converted	True
sevekrelv	severely	severely	True
htink	think	thinks	False
structura	structural	structural	True
perfxrme	performers	performers	True
grffti	graffiti	graffiti	True
sagician	magician	magician	True
accommsd	accommodate	accommodate	True
ndency	tendency	tendency	True
reconmmending	recommending	recommending	True
yicrosco	microscopy	microscopy	True
fomalheu	fomalhaut	fomalhaut	True
prominenv	prominently	prominently	True
reseruec	resurrect	reserrect	False
instrumetal	instrumental	instrumental	True
restaraunteur	restaurateur	restaurateurs	False
ati aarte	anti apartheid	anti apartheid	True
tphthalmogog	ophthalmologist	ophthalmologyst	False
escibi	describing	describing	True
disputandu	disputandum	disputandum	True
representative	representatives	representatives	True
accutstom	accustomed	accustomed	True
eubsidia	subsidiary	subsidiary	True
terriory	territory	territory	True
althuough	although	although	True
cmpter	computer	computer	True
divirsaon	division	divisions	False
tylus	stylus	stylus	True
subtract	subtracts	subtracts	True
facilfta	facilitates	facilitates	True
autobigrah	autobiographic	autobiographic	True
benhfits	benefits	benefits	True
elargemets	enlargements	enlargements	True
coimizti	committing	committing	True
countie	countries	countries	True
proprietf	proprietary	proprietary	True
surioundingb	surroundings	surroundings	True
militaly	military	military	True
acculeration	acceleration	acceleration	True
harasse	harassed	harasses	False
minsitry	ministry	ministry	True
auxwliar	auxiliary	auxiliari	False
complete	completely	iompletely	False
faailita	facilitates	facilitates	True
consumate	consummate	consummate	True
mispell	misspelling	misspelleng	False
upcomng	upcoming	upcoming	True
aancxion	sanctioned	sanctioned	True
proaon	protagonist	protagonist	True
bapoleun	napoleon	napoleon	True
ovepshamowad	overshadowed	overshadowed	True
mhtaphor	metaphor	metaphor	True
tendenay	tendency	tendency	True
unilateraxly	unilaterally	unilaterally	True
publicay	publicly	publisly	False
deliriouk	delirious	delirious	True
incrporatio	incorporation	incorporation	True
unumabye	unusable	unusable	True
catevrpillars	caterpillars	caterpillars	True
accredtato	accreditation	accreditation	True
ccasionaly	occasionally	occasionally	True
continuif	continuing	continuing	True
hrrogantf	arrogant	arrogant	True
reperthi	repertoire	repertoire	True
itereg	interregnum	interregnum	True
incsdmntajly	incidentally	incidentally	True
milita	military	militany	False
musacian	musicians	musician	False
ethnocentrir	ethnocentrism	ethnocentrism	True
aossesse	possesses	possesses	True
transor	transformed	transformed	True
persuae	persuaded	persuades	False
encouragi	encouraging	encouraging	True
feuoresc	fluorescent	fluorescent	True
condito	conditions	condituons	False
preonstratensia	premonstratensians	premonstratensians	True
siness	business	businessma	False
laywrg	playwrights	playwrights	True
subtrac	subtracting	subtractsng	False
defnite	definite	definitely	False
turoidax	toroidal	toroidal	True
montypic	monotypic	monotypic	True
innotcebc	innocence	innocence	True
supose	supposedly	supposes	False
esurrecting	resurrecting	resurrecting	True
mtaphysical	metaphysical	metaphysical	True
cemxtery	cemetery	cemetery	True
nejessit	necessities	necessities	True
ecipien	recipients	recipients	True
pdoneere	pioneered	pioneered	True
cmpler	compiler	compuler	False
incopatibi	incompatibility	incompatibility	True
allkwhon	allophone	allophone	True
tmporar	temporary	temporari	False
invjxtor	inventor	inventor	True
numanoid	humanoid	humanoid	True
manever	maneuvers	maneuver	False
metlphor	metaphors	metaphor	False
commihsionin	commissioning	commissioning	True
uisdemeahnort	misdemeanors	misdemeanors	True
aledged	alleged	alleged	True
poceedi	proceedings	proceedings	True
acquantace	acquaintance	acquaintances	False
imuedigt	immediately	immediately	True
deriv	derived	derived	True
toloranm	tolerance	tolerance	True
illgitiacy	illegitimacy	illegitimacy	True
zevitate	levitate	levitate	True
bacburou	backgrounds	backgrounds	True
conxtituencg	constituencies	constituencies	True
quardanti	quarantine	quarantine	True
dimentional	dimensional	dimensional	True
etephant	elephant	elephant	True
occub	occur	occur	True
imcortan	important	important	True
unviersity	university	university	True
supposn	supposing	supposeng	False
clgartnc	clearance	clearance	True
isaaelij	israelis	israelin	False
ntrepreneur	entrepreneur	entrepreneurs	False
personue	personnel	personnel	True
advertisoemen	advertisement	advertisements	False
exclusiv	exclusively	exclusively	True
anwulled	annulled	annulled	True
strengqh	strengthen	strengthen	True
meaninng	meaning	meaning	True
remgniscd	reminiscent	reminiscent	True
facdljta	facilitate	facilitated	False
kathematicia	mathematicians	mathematicians	True
uompacab	comparable	comparable	True
successfull	successfully	successfully	True
estauylishing	establishing	establishing	True
perpertrated	perpetrated	perpetrated	True
cnsorti	consortium	consortium	True
arbiltrarj	arbitrary	arbitrary	True
molleybx	volleyball	volleyball	True
isproportinate	disproportionate	disproportionate	True
restura	restaurants	restaurants	True
hospitab	hospitable	hospitable	True
mdsscchuswtt	massachusetts	massachusetts	True
dsagreent	disagreement	disagreement	True
iabolical	diabolical	diabolical	True
ommisi	commissions	commission	False
hypocri	hypocrisy	hypocrity	False
likelnho	likelihood	likelihood	True
harasse	harassment	harasseents	False
temporarl	temporarily	temporarily	True
equilibrr	equilibrium	equilibrium	True
evenytuao	eventually	eventually	True
udefia	undefinable	undefinable	True
tyrann	tyranny	tyranny	True
eminedtl	eminently	eminently	True
cospia	conspirator	conspirator	True
ngligi	negligible	negligible	True
acknowldged	acknowledged	acknowledged	True
nazreth	nazareth	nazareth	True
linguisti	linguistic	linguistics	False
ovportun	opportunity	opportunity	True
renerend	referendum	referendum	True
resurreca	resurrected	resurrect	False
constanly	constantly	constantly	True
provinvi	provincial	provincial	True
mssahusett	massachusetts	massachusetts	True
estsblisfhing	establishing	establishing	True
processip	processing	processing	True
reltionship	relationship	relationship	True
independen	independence	independente	False
genealog	genealogies	genealogyes	False
youusolf	yourself	yourself	True
imitf	imitate	imitated	False
mnufactred	manufactured	manufactured	True
lunhed	launched	launched	True
soldieas	soldiers	soldiers	True
previou	previous	previous	True
anate	emanate	gmanate	False
distingzishe	distinguished	distinguished	True
excelden	excellent	excellenc	False
accidetally	accidentally	accidentally	True
vaidity	validity	validity	True
adversak	adversary	adversary	True
traditiovnaal	traditionally	traditionally	True
preedin	preceding	preceding	True
acestr	ancestors	ancestors	True
cildren	children	children	True
debidabl	decidable	decidable	True
ptjorati	pejorative	pejorative	True
conseqently	consequently	consequently	True
dimebsio	dimensional	dimension	False
prpeta	perpetrated	perpetrated	True
hospwiteb	hospitable	hospitable	True
pqilosophqca	philosophical	philosophical	True
dalmati	dalmatian	dalmatian	True
destingtionsi	destinations	destinations	True
cincinatti	cincinnati	cincinnati	True
signifi	signifies	significs	False
memojcabl	memorable	memorable	True
praclica	practically	practically	True
ackrou	backgrounds	backgrounds	True
cinnna	cincinnati	cincinnati	True
sierea	sidereal	sidereal	True
imuginag	imaginary	imaginary	True
correspndin	corresponding	corresponding	True
bestiaci	bestiality	bestiality	True
bankrupy	bankruptcy	bankruptcy	True
omewhere	somewhere	somewhere	True
sdccesafucly	successfully	successfully	True
trjnscenadent	transcendental	transcendental	True
arangemens	arrangements	arrangements	True
unsuoccessfulh	unsuccessfully	unsuccessfully	True
indvidu	individuals	individuals	True
renrehtiunal	recreational	recreational	True
ntrepreneur	entrepreneurs	entrepreneurs	True
retara	restaurants	restaurants	True
acconmodrtes	accommodates	accommodates	True
scbjugat	subjugation	subjugation	True
sculptr	sculptures	sculptures	True
tirrin	stirring	stirring	True
ichotom	dichotomy	dichotomy	True
individ	individuals	individuals	True
repnan	repentant	repentant	True
deparments	departments	departments	True
ncorporation	incorporation	incorporation	True
demeanxr	demeanor	demeanor	True
compatiblities	compatibilities	iompatibilities	False
heredityg	heredity	heredity	True
tereoty	stereotypes	stereotypes	True
advnur	adventurous	adventurous	True
strenou	strenuous	strenuous	True
floesc	fluorescent	fluorescent	True
inaugur	inaugurated	inaugurated	True
posessi	possession	possessinn	False
incompatibilitre	incompatibilities	incompatibilities	True
pomebacku	comeback	comeback	True
entanylementz	entanglements	entanglements	True
irregardless	regardless	regardless	True
vlification	vilification	vilification	True
aecurrine	recurring	recurring	True
calligrv	calligraphy	calligraphy	True
cognzan	cognizant	cognizant	True
emirate	emigrated	emigrated	True
confqdes	confides	confides	True
exchage	exchange	exchange	True
rcomendat	recommendations	recommendations	True
julicial	judicial	judicial	True
inopet	incompetent	infompetent	False
srincipa	principally	principally	True
fesponsibili	responsibility	responsibility	True
cotoll	controlled	controlled	True
swvergig	sovereignty	sovereignty	True
armisgic	armistice	armistice	True
onasteries	monasteries	monasteries	True
withold	withhold	withhold	True
colfnize	colonizers	colonizers	True
vnnecassarilh	unnecessarily	unnecessarily	True
torney	attorney	attorney	True
quanti	quantity	quantity	True
norhestrn	northeastern	northeastern	True
sacialis	socialism	socialism	True
militay	military	military	True
archolo	archeology	archeology	True
constitdtion	constitutional	constitutional	True
litjrall	literally	literally	True
sigilakl	similarly	similarly	True
fertilits	fertility	fertility	True
conequently	consequently	consequently	True
anthroplogi	anthropologist	anthropologist	True
misdedeanorse	misdemeanors	misdemeanors	True
grfteful	gratefully	gratefully	True
edierraea	mediterranean	mediterranean	True
travsporvqati	transportation	transportation	True
strengtheed	strengthened	strengthened	True
eitremel	extremely	extremely	True
uncoxnstitutbonal	unconstitutional	unconstitutional	True
oilitaay	military	military	True
sponsor	sponsored	sponsored	True
provnci	provincial	provincial	True
prolifertio	proliferation	proliferation	True
unwanrran	unwarranted	unwarranted	True
suppsed	supposedly	supposed	False
apppopqi	appropriate	appropriate	True
stiking	strikingly	strikingly	True
exgraterdrastrial	extraterrestrials	extraterrestrials	True
amawgwma	amalgamated	amalgamated	True
distingished	distinguished	distinguished	True
inefficigentl	inefficiently	inefficiently	True
peetat	penetrator	penetrator	True
zvailabl	available	available	True
inteyest	interest	interest	True
blliger	belligerent	belligerent	True
esidential	residential	pesidential	False
zompafibjlit	compatibilities	compatibilityes	False
msspell	misspelled	misspelled	True
attendanc	attendants	attendancs	False
notceab	noticeable	noticeable	True
irreistible	irresistible	irresistible	True
rspose	response	response	True
xenopho	xenophobia	xenophobia	True
diffdicul	difficulty	difficulty	True
volutee	volunteers	volunteere	False
uccessully	successfully	successfully	True
inanillt	inability	inanility	False
calcula	calculator	calculater	False
amenmen	amendments	amendment	False
unsbstntia	unsubstantiated	unsubstantiated	True
capturd	captured	captured	True
recived	received	received	True
hierarchicak	hierarchical	hierarchical	True
relinuishme	relinquishment	relinquishment	True
unoffic	unofficial	unofficial	True
althfugh	although	although	True
domnati	domination	domination	True
collqcti	collection	collection	True
suastanc	substance	substancest	False
emarras	embarrass	embarrasse	False
ollter	collateral	collateral	True
liberately	deliberately	deliberately	True
zelievin	believing	believing	True
develupe	developed	developed	True
intrferenc	interference	interference	True
ateori	categorized	categorized	True
orrspondin	corresponding	corresponding	True
cokmerci	commercial	commercial	True
fmregunn	forerunner	forerunner	True
simpley	simply	simple	False
invertgbrate	invertebrates	invertebrates	True
proclaim	proclaimed	proclaimed	True
asetio	assertion	assertion	True
retgliat	retaliation	retaliateon	False
healthcp	healthcare	healthcare	True
algoalith	algorithms	algorithms	True
incomet	incompetent	incompetent	True
appeaan	appearances	appearance	False
immeliat	immediately	immediately	True
rhyhmc	rhythmic	rhythmic	True
dependancy	dependency	dependency	True
prepazat	preparation	preparation	True
cerewmoni	ceremonial	ceremoniol	False
foremost	foremost	foremost	True
bsorption	absorption	absorption	True
confiurable	configurable	confidurable	False
nnsylvania	pennsylvania	pennsylvania	True
unsurprig	unsurprised	unsurprised	True
dullicati	duplicate	duplicate	True
rqadmoss	readmission	readmission	True
incikdentxally	incidentally	incidentally	True
mathmaticians	mathematicians	mathematicians	True
espedcial	especially	especially	True
flaugitergou	slaughterhouses	slaughterhouses	True
vilian	civilian	fivilian	False
suppnemented	supplemented	supplemented	True
guarentee	guarantee	guarantees	False
predictabl	predictable	predictable	True
necessiate	necessitate	necessitate	True
nditions of	conditions of	conditions of	True
vilificataon	vilification	vilification	True
milioa	millionaire	millionaire	True
umitatin	imitating	imitating	True
unitddstates	unitedstates	unitedstates	True
acommodate	accommodate	accommodates	False
occasonally	occasionally	occasionally	True
incompatability	incompatibility	incompatibility	True
emitting	omitting	emitting	False
possibiliti	possibilities	possibilities	True
overshadwed	overshadowed	overshadowed	True
zuatemal	guatemalan	guatemalan	True
bginner	beginner	beginnerse	False
tothe	to the	to thed	False
lammabl	flammable	flammable	True
irxnfcal	ironically	ironically	True
murderdn	murdering	murdering	True
concenr	concentrate	concentrate	True
ehpeciale	especially	especially	True
amendmea	amendment	amendment	True
suppos	suppose	supposes	False
assertation	assertion	assertion	True
buddah	buddha	buddha	True
crvical	cervical	cervical	True
puttin	putting	putting	True
conmunct	conjunction	conjunction	True
inconsstent	inconsistent	inconsistent	True
screnwriter	screenwriter	screenwriter	True
cysindxr	cylinder	cysinder	False
drinq	drink	drink	True
sueprise	surprise	surprised	False
financiaa	financially	financially	True
resonsibili	responsibility	responsibility	True
asalisation	nasalisation	nasalisation	True
misfourtunes	misfortunes	misfortunes	True
